pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
-31.75,-26.67,0.0,top,J22,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
31.75,-36.83,0.0,top,J23,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-31.75,-29.21,180.0,top,J24,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-31.75,-31.75,180.0,top,J25,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-31.75,-34.29,180.0,top,J26,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-24.13,-49.53,180.0,top,J27,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-31.75,44.45,0.0,top,J28,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-21.59,-49.53,0.0,top,J29,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-22.86,13.97,0.0,top,J3,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-31.75,-49.53,180.0,top,J30,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
31.75,16.51,180.0,top,J31,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
31.75,31.75,0.0,top,J32,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
31.75,19.05,0.0,top,J34,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
31.75,-39.37,-90.0,top,J35,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
31.75,21.59,0.0,top,J37,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-31.75,39.37,0.0,top,J38,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-31.75,-41.91,0.0,top,J4,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
31.75,24.13,180.0,top,J40,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-31.75,-39.37,180.0,top,J41,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
